"id","q1","q2","q3","q4","q5","q6","q7","q8","mbti","time"
"1","A","B","A","B","A","B","A","B","ENFJ","2025-03-11 10:20:36"
"2","A","A","B","B","B","B","B","B","ESTJ","2025-03-11 10:23:06"
"3",NULL,"A","A","A","A","A","A","A","ISTJ","2025-03-11 10:27:10"
"4","A","A","A","B","B","A","B","A","ISTJ","2025-03-11 10:29:26"
"5","A","A","B","A","A","A","B","B","ISTP","2025-03-11 10:29:44"
"6","A","A","B","B","B","B","B","A","ESFJ","2025-03-11 10:33:56"
"7","A","B","A","A","A","A","B","A","INFJ","2025-03-11 10:45:20"
"8","B","A","B","A","B","B","B","B","ISFP","2025-03-11 10:54:52"
"9","A","B","B","B","A","B","B","A","ENFP","2025-03-11 10:56:51"
"10","B","A","B","A","B","A","B","B","ISFP","2025-03-11 11:00:10"
"11","A","A","A","A","B","A","B","B","ISTJ","2025-03-11 11:09:50"
"12","A","A","B","A","B","A","B","A","ISTP","2025-03-11 11:14:46"
"13","A","B","B","B","B","B","B","B","ISFJ","2025-03-11 11:17:36"
"14","B","B","B","A","A","A","B","B","INTP","2025-03-11 11:24:04"
"15","B","A","B","B","A","B","B","A","ISFP","2025-03-11 11:30:57"
"16","A","B","A","A","A","A","B","B","ESTP","2025-03-11 11:33:53"
"17","B","A","A","B","A","A","B","B","ESFJ","2025-03-11 11:35:37"
"18","A","B","A","A","B","A","B","A","INFJ","2025-03-11 11:36:33"
"19","A","B","B","A","A","B","B","B","INFP","2025-03-11 11:39:03"
"20","A","B","B","A","A","B","A","B","ESTJ","2025-03-11 11:40:27"
"21","B","B","B","B","A","B","B","B","ENFP","2025-03-11 11:55:00"
"22","A","A","B","B","A","A","B","A","ESTP","2025-03-11 11:57:28"
"23","B","B","A","A","B","A","A","B","ISTJ","2025-03-11 11:59:25"
"24","A","B","B","A","B","B","B","B","INFJ","2025-03-11 12:00:44"
"25","B","B","A","A","A","A","A","A","INTJ","2025-03-11 12:03:51"
"26","A","A","B","B","A","B","B","B","ESTP","2025-03-11 12:04:40"
"27","B","B","B","B","A","B","A","A","ENFP","2025-03-11 12:07:04"
"28","A","B","B","B","B","B","B","B","ISFJ","2025-03-11 12:07:13"
"29","B","A","B","A","A","B","A","B","ISFP","2025-03-11 12:10:37"
"30","A","A","A","A","A","A","A","A","ISTJ","2025-03-11 12:12:47"
"31","A","A","B","A","A","B","B","B","ISFP","2025-03-11 12:14:59"
"32","A","B","B","A","B","B","A","A","INFP","2025-03-11 12:29:50"
"33",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"B","INTP","2025-03-11 12:33:07"
"34","A","B",NULL,NULL,"A","A","A","B","INTP","2025-03-11 12:33:41"
"35","A","A","A","A","A","A","A","B","ISFJ","2025-03-11 12:34:27"
"36","A","A","A","A","A","A","A","A","ISTJ","2025-03-11 12:36:19"
"37","A","B","A","A","A","B","A","B","INFJ","2025-03-11 12:36:44"
"38","A","A","B","A","A","B","A","A","ISFP","2025-03-11 12:38:07"
"39","A","A","A","A","A","A","A","A","ISTJ","2025-03-11 12:44:36"
"40","A","A","A","B","A","B","B","B","ISTJ","2025-03-11 12:57:10"
"41","A","B","B","B","B","B","B","B","ESFJ","2025-03-11 13:03:40"
